title,rec
Kansas Saloon Smashers,"['The Glass Castle', 'The Table', 'Over the Hedge', 'Big Money Rustlas', 'Tweetie Pie', 'His Majesty, the Scarecrow of Oz', 'The Wonderful Wizard of Oz', 'The Jewel', 'Shack Out on 101', 'Sinbad of the Seven Seas', 'Ice Cream', 'The Town Across the River', 'Dance with Devils: Fortuna', 'Little Red Riding Hood', 'Uzhaikkum Karangal', 'Royal Bengal Rahashya', 'Katha, Samvidhanam Kunchakko (കഥ, സംവിധാനം കുഞ്ചാക്കോ)', 'Shiawase no Pan', 'One Piece Film: Gold', 'White Tiger', 'Automaton Transfusion', 'Bedeviled Rabbit', 'My Learned Friend', 'The Mouse That Roared', 'Dragon Ball Z: Fusion Reborn', 'The Milagro Beanfield War', 'Old Mother Riley Overseas', 'Resident Evil: Retribution', 'Booby Dupes', 'Jackson Durai', 'Dharmam Enge', 'Warlock', 'Knute Rockne, All American', 'A Ticklish Affair', 'Quick Gun Murugun', ""Sufferin' Cats!"", 'The Two Mouseketeers', 'Doraemon: Nobita to Kiseki no Shima ~Animal Adventure~', 'Passion Fish', 'Bagdad Café', 'The Naked Man', 'Aabra Ka Daabra', ""Dragon Ball Z: Cooler's Revenge"", 'A Matter of Loaf and Death', 'Wallace & Gromit: The Curse of the Were-Rabbit', 'Orders Are Orders', 'Sword of the Valiant', 'Winnie the Pooh and the Honey Tree', 'Telephone Operator', 'Bomb in the High Street']"
Love by the Light of the Moon,"['Heeralal Pannalal', 'Black Widow', 'Kahani Kismat Ki', 'Melody and Romance', 'Undiscovered', 'Prey for Rock & Roll', 'Paathasala', 'Angels in Stardust', 'Manchali', 'Out of This World', 'Gents Without Cents', 'Gonks Go Beat', 'Black Roses', 'The Golden Link', 'Mythri', 'Lucky Boy', 'Inteha', 'When Larry Met Mary', 'The Alley Cat (Le Matou)', 'Anbe Aaruyire', 'Aane Pataaki', 'Life at the Top', 'Azhiyatha Kolangal', 'Jai Prakash', 'Sukumarudu', 'Always Leave Them Laughing', 'The Idolmaster Movie: Beyond the Brilliant Future!', 'Talk of a Million', 'Madhu', 'The Glass Castle', 'Broadway Hostess', 'Sharara', 'BLEACH the Movie: Memories of Nobody', 'Rettai Vaalu', 'Beat Street', 'Dogtown', 'The Joker Is Wild', 'Andrew Lau, Alan Mak', 'Kalyana Vaibhogam', 'Up Jumped a Swagman', ""Don't Look Up"", 'Strawberry Shortcake: The Sweet Dreams Movie', 'The Wannabes', 'Josh and S.A.M.', 'Jai Maharashtra Dhaba Bhatinda', 'New York, New York', 'Mundhinam Paartheney', ""Let's Make Music"", 'Souls for Sale', 'Mr. Saturday Night']"
The Martyred Presidents,"['Heeralal Pannalal', 'Black Widow', 'Kahani Kismat Ki', 'Melody and Romance', 'Undiscovered', 'Prey for Rock & Roll', 'Paathasala', 'Angels in Stardust', 'Manchali', 'Out of This World', 'Gents Without Cents', 'Gonks Go Beat', 'Black Roses', 'The Golden Link', 'Mythri', 'Lucky Boy', 'Inteha', 'When Larry Met Mary', 'The Alley Cat (Le Matou)', 'Anbe Aaruyire', 'Aane Pataaki', 'Life at the Top', 'Azhiyatha Kolangal', 'Jai Prakash', 'Sukumarudu', 'Always Leave Them Laughing', 'The Idolmaster Movie: Beyond the Brilliant Future!', 'Talk of a Million', 'Madhu', 'The Glass Castle', 'Broadway Hostess', 'Sharara', 'BLEACH the Movie: Memories of Nobody', 'Rettai Vaalu', 'Beat Street', 'Dogtown', 'The Joker Is Wild', 'Andrew Lau, Alan Mak', 'Kalyana Vaibhogam', 'Up Jumped a Swagman', ""Don't Look Up"", 'Strawberry Shortcake: The Sweet Dreams Movie', 'The Wannabes', 'Josh and S.A.M.', 'Jai Maharashtra Dhaba Bhatinda', 'New York, New York', 'Mundhinam Paartheney', ""Let's Make Music"", 'Souls for Sale', 'Mr. Saturday Night']"
"Terrible Teddy, the Grizzly King","['Heeralal Pannalal', 'Faster Fene', 'Red Swastik', 'Black Widow', 'The Whispering Chorus', 'Go, Go Second Time Virgin', 'Kahani Kismat Ki', 'Manoranjan', 'Melody and Romance', 'Undiscovered', 'Boys Love', 'Wonder Boys', 'Ichi the Killer', 'Mayabazar', 'Prey for Rock & Roll', 'Kathai', 'Uthama Purushan', 'Paathasala', 'Angels in Stardust', 'Manchali', 'Rasathi Varum Naal', 'Out of This World', 'Gents Without Cents', 'Extremely Loud and Incredibly Close', 'Gonks Go Beat', 'Black Roses', 'Calling Bulldog Drummond', 'Meet the Applegates', 'Blind Spot', 'The Golden Link', 'Mythri', 'Da Sweet Blood of Jesus', 'Lucky Boy', 'Madhur Bhandarkar', 'Inteha', 'Ever Since Eve', 'Billa', 'When Larry Met Mary', 'Shor in the City', 'Deepak Tijori', 'The Pillow Book', 'Book Girl', 'The Comedy of Terrors', 'The Comedy of Terrors', 'The House on Carroll Street', 'Rangi Taranga', 'Hi Nellie!', 'Good-Time Girl', 'The Alley Cat (Le Matou)', 'Anbe Aaruyire']"
Frankenstein,"[""God's Clay"", 'Crosstalk', 'XX: Beautiful Prey', 'High Society Blues', 'Who Do I Gotta Kill?', 'Uthami Petra Rathinam', 'My New Gun', 'Paruva Kaalam', 'Distance', 'Seoul Evita', 'Trouble Preferred', 'Fuss and Feathers', 'Jealousy', 'On Trial', 'Easy to Love', 'Adultery', 'Broken Blossoms', 'Teshan', 'Life Goes On', 'Nine till Six', 'Mother', 'Facing the Music', 'Circumstantial Evidence', '100 Streets', 'Baker Country U.S.A.', 'The Bigamist', 'American Dreams in China', 'Zakhmi Aurat', 'Paramaatma', 'Yeh Dooriyan', 'Baa Nalle Madhuchandrake', 'Poppins', 'East Lynne', '100 Streets', 'Drop Dead Darling', 'Models Inc.', 'Girl in Gold Boots', ""The Handyman (L'Homme à tout faire)"", 'Ruthless', 'The Glass Cage', ' Caffeine', 'The Lost Man', 'Uliyin Osai', 'Red Hair', 'Oru Odai Nadhiyagirathu', 'Chutney Popcorn', 'Acı', 'Murder in Harlem', 'Neela Vanam', 'Adventures of Zatoichi']"
"Hemlock Hoax, the Detective","[""God's Clay"", 'Mother', 'Facing the Music', 'Circumstantial Evidence', '100 Streets', 'Baker Country U.S.A.', 'The Bigamist', 'American Dreams in China', 'Paramaatma', 'Yeh Dooriyan', 'Baa Nalle Madhuchandrake', 'Poppins', 'East Lynne', '100 Streets', 'Drop Dead Darling', 'Models Inc.', 'Nine till Six', 'Life Goes On', 'Zakhmi Aurat', 'Broken Blossoms', 'High Society Blues', 'Who Do I Gotta Kill?', 'Uthami Petra Rathinam', 'My New Gun', 'Paruva Kaalam', 'Distance', 'XX: Beautiful Prey', 'Teshan', 'Trouble Preferred', 'Fuss and Feathers', 'Jealousy', 'On Trial', 'Easy to Love', 'Adultery', 'Seoul Evita', 'Crosstalk', 'Girl in Gold Boots', ""The Handyman (L'Homme à tout faire)"", 'Ruthless', 'The Glass Cage', ' Caffeine', 'The Lost Man', 'Uliyin Osai', 'Red Hair', 'Oru Odai Nadhiyagirathu', 'Chutney Popcorn', 'Acı', 'Murder in Harlem', 'Neela Vanam', 'Adventures of Zatoichi']"
The House with Closed Shutters,"[""God's Clay"", 'Who Do I Gotta Kill?', 'Uthami Petra Rathinam', 'My New Gun', 'Paruva Kaalam', 'Distance', 'XX: Beautiful Prey', 'Teshan', 'Trouble Preferred', 'Fuss and Feathers', 'Jealousy', 'On Trial', 'Easy to Love', 'Adultery', 'Seoul Evita', 'Crosstalk', 'High Society Blues', 'Broken Blossoms', 'Zakhmi Aurat', 'Life Goes On', 'Mother', 'Facing the Music', 'Circumstantial Evidence', '100 Streets', 'Baker Country U.S.A.', 'The Bigamist', 'American Dreams in China', 'Paramaatma', 'Baa Nalle Madhuchandrake', 'Poppins', 'East Lynne', '100 Streets', 'Drop Dead Darling', 'Models Inc.', 'Nine till Six', 'Yeh Dooriyan', 'Girl in Gold Boots', ""The Handyman (L'Homme à tout faire)"", 'Ruthless', 'The Glass Cage', ' Caffeine', 'The Lost Man', 'Uliyin Osai', 'Red Hair', 'Oru Odai Nadhiyagirathu', 'Chutney Popcorn', 'Acı', 'Murder in Harlem', 'Neela Vanam', 'Adventures of Zatoichi']"
A Lad from Old Ireland,"[""God's Clay"", 'Mother', 'Facing the Music', 'Circumstantial Evidence', '100 Streets', 'Baker Country U.S.A.', 'The Bigamist', 'American Dreams in China', 'Paramaatma', 'Baa Nalle Madhuchandrake', 'Poppins', 'East Lynne', '100 Streets', 'Drop Dead Darling', 'Nine till Six', 'Yeh Dooriyan', 'Life Goes On', 'Zakhmi Aurat', 'Models Inc.', 'High Society Blues', 'Who Do I Gotta Kill?', 'Uthami Petra Rathinam', 'Broken Blossoms', 'My New Gun', 'Paruva Kaalam', 'XX: Beautiful Prey', 'Teshan', 'Distance', 'Fuss and Feathers', 'Jealousy', 'On Trial', 'Easy to Love', 'Adultery', 'Seoul Evita', 'Crosstalk', 'Trouble Preferred', 'Girl in Gold Boots', ""The Handyman (L'Homme à tout faire)"", 'Ruthless', 'The Glass Cage', ' Caffeine', 'The Lost Man', 'Uliyin Osai', 'Red Hair', 'Oru Odai Nadhiyagirathu', 'Chutney Popcorn', 'Acı', 'Murder in Harlem', 'Neela Vanam', 'Adventures of Zatoichi']"
Pocahontas,"[""God's Clay"", 'Who Do I Gotta Kill?', 'Uthami Petra Rathinam', 'Broken Blossoms', 'My New Gun', 'Paruva Kaalam', 'XX: Beautiful Prey', 'High Society Blues', 'Teshan', 'Fuss and Feathers', 'Jealousy', 'On Trial', 'Easy to Love', 'Adultery', 'Seoul Evita', 'Distance', 'Models Inc.', 'Zakhmi Aurat', 'Life Goes On', 'Mother', 'Facing the Music', 'Circumstantial Evidence', '100 Streets', 'Baker Country U.S.A.', 'The Bigamist', 'American Dreams in China', 'Paramaatma', 'Baa Nalle Madhuchandrake', 'Poppins', 'East Lynne', '100 Streets', 'Drop Dead Darling', 'Nine till Six', 'Yeh Dooriyan', 'Crosstalk', 'Trouble Preferred', 'Girl in Gold Boots', ""The Handyman (L'Homme à tout faire)"", 'Ruthless', 'The Glass Cage', ' Caffeine', 'The Lost Man', 'Uliyin Osai', 'Red Hair', 'Oru Odai Nadhiyagirathu', 'Chutney Popcorn', 'Acı', 'Murder in Harlem', 'Neela Vanam', 'Adventures of Zatoichi']"
Ramona,"[""God's Clay"", 'Facing the Music', 'Circumstantial Evidence', '100 Streets', 'Baker Country U.S.A.', 'The Bigamist', 'American Dreams in China', 'Paramaatma', 'Poppins', 'East Lynne', '100 Streets', 'Drop Dead Darling', 'Nine till Six', 'Yeh Dooriyan', 'Crosstalk', 'Trouble Preferred', 'Mother', 'Life Goes On', 'Baa Nalle Madhuchandrake', 'Models Inc.', 'Broken Blossoms', 'My New Gun', 'Paruva Kaalam', 'XX: Beautiful Prey', 'High Society Blues', 'Teshan', 'Uthami Petra Rathinam', 'Zakhmi Aurat', 'Jealousy', 'On Trial', 'Easy to Love', 'Adultery', 'Seoul Evita', 'Distance', 'Fuss and Feathers', 'Who Do I Gotta Kill?', 'Girl in Gold Boots', ""The Handyman (L'Homme à tout faire)"", 'Ruthless', 'The Glass Cage', ' Caffeine', 'The Lost Man', 'Uliyin Osai', 'Red Hair', 'Oru Odai Nadhiyagirathu', 'Chutney Popcorn', 'Acı', 'Murder in Harlem', 'Neela Vanam', 'Adventures of Zatoichi']"
